Code|Level_2|Fonte
A23K  10/26|1.3.2. Material recovery recycling and re-use; 1.3.2. Material recovery, recycling and re-use|CPC & IPC
A23K  10/28|1.3.2. Material recovery recycling and re-use; 1.3.2. Material recovery, recycling and re-use|CPC & IPC
A23K  10/32|1.3.2. Material recovery recycling and re-use; 1.3.2. Material recovery, recycling and re-use|CPC & IPC
A23K  10/33|1.3.2. Material recovery recycling and re-use; 1.3.2. Material recovery, recycling and re-use|CPC & IPC
A23K  10/37|1.3.2. Material recovery recycling and re-use; 1.3.2. Material recovery, recycling and re-use|CPC & IPC
A23K  10/38|1.3.2. Material recovery recycling and re-use; 1.3.2. Material recovery, recycling and re-use|CPC & IPC
A43B   1/12|1.3.2. Material recovery recycling and re-use; 1.3.2. Material recovery, recycling and re-use|CPC & IPC
A61L  11/00|1.3.6. Waste management Not elsewhere classified; 1.3.6. Waste management  Not elsewhere classified|CPC & IPC
B01D  46/00|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/0001|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0002|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0004|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0005|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0006|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0008|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0009|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/001|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0012|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0013|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0015|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0016|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0017|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0019|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/002|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0021|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0023|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0024|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0026|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0027|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0028|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/003|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0031|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0032|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0034|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0035|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0036|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0038|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0039|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0041|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0042|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0043|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0045|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0046|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0047|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0049|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/005|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0052|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0053|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0054|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0056|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0057|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0058|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/006|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0061|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0063|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0064|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0065|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0067|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0068|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0069|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0071|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0072|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0073|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0075|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0076|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0078|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0079|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/008|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0082|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0083|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0084|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0086|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0087|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0089|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/009|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0091|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0093|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0094|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0095|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0097|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/0098|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/02|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/023|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/026|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/04|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/06|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/08|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/10|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/103|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/106|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/12|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/125|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/14|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/16|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/18|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/185|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/20|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/22|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/24|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/2403|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2407|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2411|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2414|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2418|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2422|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2425|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2429|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/244|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2444|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2448|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2451|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2455|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2459|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2462|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2466|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/247|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/2474|1.1.3. Air pollution abatement - Not elsewhere classified|CPC
B01D  46/26|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/28|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/30|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/32|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/34|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/36|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
B01D  46/38|1.1.3. Air pollution abatement - Not elsewhere classified; 1.1.3. Air pollution abatement - Not elsewhere classified|CPC & IPC
